date,score,model_id,rank,date_dt,days
2024-12-17,0.1482,gpt-4o-mini-audio-preview-2024-12-17,1,2024-12-17,0
2024-12-17,0.1305,gpt-4o-mini-audio-preview-2024-12-17†,2,2024-12-17,0
2025-02-01,0.1549,Phi-4-multimodal-instruct,1,2025-02-01,46
2025-04-17,0.4004,gemini-2.5-flash (Thinking),1,2025-04-17,121
2025-06-03,0.2544,gpt-4o-audio-preview-2025-06-03,2,2025-06-03,168
2025-06-03,0.2323,gpt-4o-audio-preview-2025-06-03†,3,2025-06-03,168
2025-06-17,0.469,gemini-2.5-pro,1,2025-06-17,182
2025-06-17,0.2611,gemini-2.5-flash,3,2025-06-17,182
2025-07-15,0.2633,Voxtral-Small-24B-2507,3,2025-07-15,210
2025-11-18,0.5465,gemini-3-pro-preview,1,2025-11-18,336
